126,page,n.,a piece of paper,I could not finish the last page of the book.
127,pay,v.,to give money to get something,She pays $5 for the vegetables.
128,rain,v.,to fall as water from clouds,It starts to rain on her way to town.
129,sell,v.,to give something to someone for money,She sells shoes at the mall.
130,tree,n.,a woody plant,All of those trees are snowy.
131,chair,n.,something for a person to sit on,The chair is red.
132,hear,v.,to listen to,She thinks she hears a person singing.
133,number,n.,a word or symbol that shows an amount,Can you count to the number 10 in Spanish?
134,park,n.,a grassy place in or near a city,"Yesterday, we went to the park."
135,poor,adj.,having little money,The poor man needs money.
136,ready,adj.,set to do something,They are ready to go.
137,ride,v.,to sit in or on something that you or someone else moves,She rides her bike to the market.
138,table,n.,something that people sit at to do things like eat,The table is heavy.
139,work,n.,a job,He is late for work.
140,write,v.,to make words with a pen or pencil,He starts to write a letter.
,,,,
141,door,n.,something that you open to go into a building or room,He goes through a big door at work.
142,easy,adj.,not hard to do,Tea is easy to make.
143,grow,v.,to get bigger,The plant needs water to grow.
144,hate,v.,to dislike very much,He hates vegetables.
145,morning,n.,the first part of the day,She drinks coffee early in the morning.
146,music,n.,sounds made by instruments or voices,He learns to play music.
147,o'clock,adv.,being on the hour,It is five o'clock.
148,ring,n.,a piece of jewelry worn on the finger,This ring is not cheap.
149,stop,v.,to no longer move,Cars stop when the light is red.
150,study,v.,to read and practice in order to learn,He studies for two hours every night.
151,mirror,n.,something that people look in to see themselves,He looks in the mirror when he gets ready for work.
152,nurse,n.,a person who helps sick people and works with a doctor,The nurse helps the sick woman.
153,pocket,n.,something on clothing to put things in,He puts the number in his pocket.
154,pretty,adj.,nice to look at,The tree is pretty.
155,problem,n.,something that is hard to do,She has a problem with her car.
156,pull,v.,to hold onto something and move it toward you,She pulls the bag.
157,sad,adj.,not happy,The child is sad.
158,try,v.,to make an effort to do something,The cat tries to catch the fish.
159,want,v.,to wish for,She wants new shoes.
160,wrong,adj.,not correct,I wrote the wrong answer.
,,,,
161,high,adv.,for above the ground,The pretty balloons are high in the sky.
162,keep,v.,to put and leave something in one place,We keep the sugar in a jar.
163,know,v.,to have information already,She knows how to fix the problem.
164,let,v.,to allow; to agree to,Mom lets me listen to music when I study.
165,move,v.,to put in a different place,They move the chair.
166,pass,v.,to throw to another person,He is ready to pass the ball.
167,point,v.,to use your finger to show someone where something is,He points to the numbers on the page.
168,push,v.,to move something away from you,The nurse pushes the wheelchair.
169,quick,adj.,fast,The boy is quick.
170,together,adv.,with others,They play together in the park.
171,fall,v.,to come or go down quickly,He fell when he ran to the door.
172,lady,n.,a woman,The lady is sad.
173,rest,v.,to take a break,She rests after work.
174,run,v.,to use the legs to move fast,I run at six o’clock in the morning.
175,season,n.,the time of year when something usually happens,They are ready for football season
176,short,adj.,not tall; not long,This tree is short. It does not grow tall.
177,sky,n.,the space above us and around the world,The sky is dark at night.
178,stand,v.,to be on your feet,He stands in the same place for many hours.
179,tall,adj.,long from top to bottom,Kayla is a tall girl.
180,wear,v.,to have clothing or jewelry on the body,He wears a jacket with a pocket.
,,,,
181,bottle,n.,a glass or plastic container for liquids,The bottle is on the table.
182,change,v.,to become different,It changes into another animal.
183,cool,adj.,a little bit cold,He wears a jacket on a cool day.
184,cover,v.,to put something over something else,He covers the food to keep it warm.
185,dry,v.,to take away water,The lady dries the dishes.
186,egg,n.,something round made by a mother bird,I give the eggs to my mom.
187,expensive,adj.,costing a lot of money,The car is expensive.
188,fast,adj.,able to move quickly,The plane high in the sky is very fast.
189,fish,n.,an animal that lives in water,The fish is ready for me to eat.
190,knife,n.,a sharp tool used for cutting,My parents do not let me use the knife.
191,full,adj.,having no room for more,The bags are full.
192,garden,n.,an area where flowers or vegetables are grown,The plants in the garden are short.
193,hot,adj.,having a lot of heat,The soup is hot.
194,ill,adj.,sick; not well,Betty is ill. She needs to rest.
195,kitchen,n.,a room where people cook food,There is not a table in the kitchen.
196,light,v.,to start a fire,The matches are easy to light.
197,milk,n.,a white drink that comes from animals,I like to drink milk.
198,potato,n.,a round vegetable that grows under the ground,She pulled the potatoes out of the dirt.
199,warm,adj.,a little bit hot,She knows how to stay warm.
200,wash,v.,to clean,Dave stands at the sink and washes the dishes.
,,,,
201,beautiful,adj.,very nice to look at,The sky is very beautiful today.
202,bicycle,n.,a thing with two wheels that you can ride,They ride bicycles together.
203,city,n.,a very big town,There are many tall buildings in the city.
204,east,adv.,the direction from which the sun rises,We need to go east.
205,far,adv.,not close,He goes far to get to work.
206,map,n.,a drawing of an area that shows where places are,I have an old map of the world.
207,open,v.,to let people in,They open the store at eight o’clock.
208,road,n.,a wide and hard thing that people drive cars on,I like to drive on this long road.
209,shoe,n.,something that covers the foot,He wears these shoes to run.
210,side,n.,the place right next to something,They stopped on the side of the road.
211,air,n.,the gases around the earth that people breathe,The air is not clean. It makes people ill.
212,fly,v.,to move through the air,The bird flies high in the sky.
213,half,adv.,by 50 percent,The glass is half full.
214,left,adv.,on or to the side opposite of right,Turn left on this road.
215,little,adj.,small,It drinks from a little bottle.
216,new,adj.,not old,She wants a new ring.
217,shop,n.,a small store,The lady works in a flower shop.
218,show,v.,to let someone see,He shows her a pink shoe.
219,use,v.,to put something into action,He uses the knife to cut the fish.
220,wait,v.,to stay in one place until something happens,He waits for the bus.
,,,,
221,ask,v.,to say a question,She asks the students about the book.
222,break,v.,to cause to be in two or more pieces,I broke the egg to make breakfast.
223,desk,n.,a small table in an office or classroom,There are many desks in the room.
224,seat,n.,a place to sit,The seats are by the side of the pool.
225,stairs,n.,a set of steps,Sara’s little shop is at the top of the stairs.
226,stay,v.,not to leave,Bill tells his dog to stay. It waits for Bill to come back.
227,talk,v.,to speak to another person,The beautiful lady talks to the man.
228,understand,v.,to know the meaning of,He understands a house and car are expensive.
229,walk,v.,to use the legs to go from one place to another,He walks on this road to get home.
230,year,n.,twelve months,These birds fly east at this time of the year.
231,act,v.,to behave in a certain way,They know how they must act in class.
232,bring,v.,to take something to another place,She brings the food to the table.
233,glad,adj.,happy,They are glad they live in the city.
234,lesson,n.,an activity used to teach,He teaches a lesson about maps.
235,listen,v.,to use the ears to hear,She listens to a beautiful song.
236,pencil,n.,a writing tool,She uses a pencil to write.
237,question,n.,a sentence that asks for an answer,The man asks a lot of questions.
238,right,adj.,correct,She does not know the right answer.
239,teach,v.,to help someone learn,Kayla’s mom teaches her how to grow a garden.
240,way,n.,how someone does something,My mom shows me a way to cook eggs.
,,,,
241,angry,adj.,feeling upset,"Because Jane does not listen to her, Jane’s mom is angry."
242,boring,adj.,not interesting,Jason hates staying inside because it is so boring.
243,class,n.,a lesson at school,Ryan’s dad teaches a new class.
244,dream,v.,to think about a wish for something good,She dreams about living in the city.
245,famous,adj.,known by many people,The kids like the famous baseball player.
246,feel,v.,to have a sense of something,He felt very hot after walking for half the morning.
247,future,n.,the time that has not happened yet,"In the future, we will not need roads for driving."
248,group,n.,several people that are together,The group uses a large table to study.
249,hobby,n.,something you like to do in your free time,Her hobbies are drawing and painting.
250,job,n.,the work that a person is paid to do,"She needs money, so she wants to get a job."
251,hundred,n.,the number 100,Five hundred dollars is a lot of money.
252,invite,v.,to ask to go somewhere,Mrs. Jones invited us into her home.
253,math,n.,the study of numbers,The boy is good at math.
254,photograph (photo),n.,a picture taken with a camera,I am glad you shared these photos with me.
255,president,n.,the leader of the government or of a company,Many kids dream about becoming their country’s president.
256,really,adv.,very,This TV show is really good.
257,speech,n.,a talk that someone gives in front of a group of people,The woman answered a lot of questions during her speech.
258,travel,v.,"to go on a trip, usually far away",Vicky loves to travel. She goes to many faraway places.
259,voice,n.,the sound a person makes when speaking or singing,Janet has a beautiful voice. She should give singing lessons.
260,wonder,v.,to have interest in knowing or learning something,Carlos did not bring a pencil to class today. I wonder why.
,,,,
261,baseball,n.,a game in which players hit a ball with a bat,I really like to play baseball with my brother.
262,basketball,n.,a game in which players throw a ball through a net,I need new shoes for playing basketball.
263,dangerous,adj.,involving danger or harm,Going into the city alone can be dangerous.
264,excited,adj.,feeling happy about something,Lisa is excited to hear the president’s speech.
265,hill,n.,land that is higher than the area around it,I wonder what is at the top of that hill.
266,hit,v.,to make contact with something quickly,Josh hit the ball with his bat.
267,hospital,n.,the place people go when they are sick,The nurse at the hospital was nice to Janet.
268,hurt,v.,"to harm, wound, or damage",Max hurt his leg when he fell down during the game.
269,motorbike,n.,a bike that runs on a motor; a motorcycle,Riding a motorbike is one of my hobbies.
270,slow,adj.,not fast,The snail is a slow animal.
271,drop,v.,to fall or let fall,Agnes dropped the ball.
272,earth,n.,the ground; dirt,The earth here is perfect for growing things.
273,flag,n.,"a shape, often with four sides, used as a symbol",This flag shows the race is over.
274,foolish,adj.,lacking wisdom; stupid,It was foolish to get close to the animal.
275,hold,v.,to use hands to carry something,The lady is holding a bottle of water.
276,matter,v.,to be important,It does not matter which doctor you see. They are all good.
277,round,adj.,in the shape of a circle or ball,The colorful ball is round.
278,take,v.,to move a person or thing from one place to another,I am going to take my little brother to a game.
279,tie,n.,when two teams finish with the same number of points,The game ended in a tie.
280,weather,n.,what the air is like at a certain time and place,We did not have our baseball game because of bad weather.
,,,,
281,art,n.,"paintings, drawings, or sculptures",One of my hobbies is making art for my parents.
282,build,v.,to make,He dreams about building houses for a job.
283,choose,v.,to decide or make a choice,They are choosing which color they like.
284,draw,v.,to make a picture using a pen or pencil,Martha is drawing a man walking with a flag.
285,kid,n.,a child,The kid in the math class did not understand the lesson.
286,paint,v.,to make art with paint,"In the future, she hopes to paint great art for a job."
287,picture,n.,a photograph or other image of a person or thing,These are pictures of my friends.
288,plant,n.,a living thing that grows in the earth,There are many plants on this hill.
289,repeat,v.,to say again,Can you please repeat the question?
290,wall,n.,one of the sides of a room,Does it matter what I put on my bedroom walls?
291,absent,adj.,not in a place,Many students were absent because of bad weather.
292,back,n.,the area farthest from the front,The people in the back of the room could not hear.
293,fix,v.,to repair,Mike had to fix the window that his son broke.
294,land,n.,earth; ground,The land is really dry this year.
295,pants,n.,clothes worn on the legs,Bring another pair of pants with you.
296,picnic,n.,a meal eaten outside on the ground,"They are having a picnic, and we are all invited."
297,river,n.,a large flow of water moving across land,Hundreds of people come to surf in this river every year.
298,rock,n.,a big stone,Climbing rocks can be dangerous.
299,school,n.,a place to go to learn,We sit on the stairs in front of our school.
300,wood,n.,material from trees,They are using wood to build the house.
,,,,
301,book,n.,sheets of paper held together,The book I am reading is about the future.
302,example,n.,a sample,This picture is an example of fine art.
303,glue,n.,something sticky used to make things stay together,Rita fixed the picture with some glue.
304,library,n.,a place where books are kept,The group did not have its meeting at the library today.
305,mean,adj.,unkind,That animal is really mean.
306,piece,n.,a small part of something larger,The broken piece of glass is dangerous.
307,plan,n.,a way of doing or making something,The president talked about his plan in the speech.
308,quiet,adj.,silent; making little sound,It is important to be quiet in the library.
309,read,v.,to understand written words,We are reading about a famous basketball player.
310,sound,n.,something you can hear,The river makes a loud sound when it rains.
311,correct,adj.,right,The kid repeated the correct answer.
312,difference,n.,how two things are unlike each other,What is the difference between drawing and painting a picture?
313,difficult,adj.,not easy,The hill was both dangerous and difficult to climb.
314,excellent,adj.,very good,The weather is excellent today.
315,guess,v.,to answer when you do not know if it is true,It is difficult to guess the right cup.
316,museum,n.,"a place where items of art, science, or history are kept",I like going to this museum because it is not boring.
317,noise,n.,"something you can hear, usually loud or unpleasant",The angry man made a lot of noise.
318,relax,v.,to rest,Try to relax during the weekend.
319,science,n.,the study of things in the world,We studied the science of plants today.
320,tomorrow,adv.,on the day after today,Martin will be absent from school tomorrow.
,,,,
321,close,adj.,near,The baby stays close to his mother.
322,grass,n.,a plant that covers the ground,I enjoy relaxing on the grass.
323,hat,n.,something worn on the head,She wears her hat everywhere.
324,lake,n.,a large area of water with land around it,We are having a picnic by the lake tomorrow.
325,moon,n.,"the round, white object in the sky at night",What is the difference between the sun and the moon?
326,mountain,n.,a part of land that is higher than a hill,There is a river by the mountain.
327,smell,v.,to be able to sense an odor with your nose,She is able to smell the beautiful flower.
328,soap,n.,something used with water to clean,The kid used soap to wash his hands.
329,toilet,n.,a seat in a bathroom,I do not like using the toilets at school.
330,wet,adj.,covered with water,The boy got wet from the water.
331,boot,n.,a type of shoe,I found an excellent pair of boots.
332,deep,adj.,going far below,They made a deep hole into the side of the hill.
333,farm,n.,land used for growing plants or raising animals for food,Our plan is to visit a farm tomorrow.
334,glove,n.,clothing worn on the hands,You should wear gloves when working with wood.
335,house,n.,a building where people live,Will you repeat the directions to your house?
336,sunny,adj.,having lots of sun,I guess it will be sunny tomorrow.
337,top,n.,the highest point,The man ran to the top of the hill.
338,well,n.,a deep hole with water for drinking,The farm has a well where people take water to use.
339,wide,adj.,having a large distance from one side to the other,The river is too wide to swim across.
340,windy,adj.,having a lot of wind,It is too windy to wear a hat today.
,,,,
341,care,v.,to look after,She cares for her puppy.
342,die,v.,to stop living,The grass in the yard died in the winter.
343,empty,adj.,having nothing inside,The pool is empty. It does not have water.
344,feed,v.,to give someone or something food,We cannot feed the animals in the mountains.
345,health,n.,the good condition of the body,"For your health, use soap to clean your body."
346,heart,n.,the body part that moves blood through the body,We are learning about how the heart works in science class.
347,large,adj.,big in size or amount,Our house is very large and close to a beautiful lake.
348,remember,v.,to have or keep something in mind,He could not remember how to get to the farm.
349,rule,n.,something that says what you can or cannot do,"One of the library rules is, “Be quiet.”"
350,zoo,n.,a place with wild animals for people to look at,Our school visited a museum and the zoo this year.
351,dirty,adj.,not clean,Wash that dirty toilet with soap and water.
352,fill,v.,to make full of something,Fill these empty bookshelves with your books.
353,fresh,adj.,recently made or gotten,I make a fresh cup of tea every morning.
354,frog,n.,a small green animal that lives near water,A lot of frogs live by this lake.
355,girl,n.,a kid who is not a boy,There is a mean girl in my art class.
356,glass,n.,a container used for drinks,Use this glass for your juice.
357,hungry,adj.,needing food,The boy is hungry and ready to eat.
358,spoon,n.,a tool used for eating,The baby uses a spoon to feed himself.
359,thirsty,adj.,needing to drink,Did you remember to bring water so you are not thirsty?
360,window,n.,an opening in a building which lets in light,I can see trees through the window.
,,,,
361,ago,adv.,before now,This is an example of a painting from long ago.
362,agree,v.,to think the same thing,They all agreed with the plan.
363,beach,n.,an area next to water that is covered with sand,We went to a quiet beach to relax.
364,cap,n.,a hat,I remembered to bring my cap with me.
365,fat,adj.,overweight; not thin,We need to think about our fat cat’s health.
366,sea,n.,a very large body of water,Most of the water in the sea is very deep.
367,throw,v.,to push something out of your hands,It can be difficult for a small child to throw a ball.
368,towel,n.,something used for drying things,The boy dries himself with a towel after swimming.
369,trip,n.,a visit to a place,The man went on a trip to Europe with his friend.
370,vacation,n.,"time away from school or work, usually to travel or relax",The family needed gloves and hats on their vacation.
371,ball,n.,a round object that you play with,Is this the correct way to hit a golf ball?
372,basket,n.,"a container, usually made of wood",Laura put the basket of fresh apples on the table.
373,boat,n.,something that people travel with on water,He enjoys taking his boat out on weekends.
374,holiday,n.,a special day,Valentine’s Day is a holiday when people give cards to their friends.
375,lamp,n.,something that makes light,Gina needed a lamp to study at night.
376,last,v.,to continue for a certain amount of time,The baseball game lasted all afternoon.
377,past,n.,the time before now,"In the past, people with lots of money lived in castles."
378,ship,n.,a large boat,We traveled by ship for our vacation.
379,spend,v.,to use money on something or use time to do something,People need to spend money almost every day.
380,west,adv.,in the direction where the sun sets,Lisa will be traveling west during her vacation.
,,,,
381,beef,n.,meat from a cow,Eating too much beef might make you fat.
382,best,adj.,better than the others,Alex is Jonah’s best friend. They do everything together.
383,bread,n.,a type of baked food,You can eat some bread if you are hungry.
384,free,adj.,not needing money to buy,She agreed to give me a free kitten.
385,hurry,v.,to move quickly,He hurried to work because he got up late.
386,join,v.,to come together,She was joining her friends for a short vacation.
387,middle,n.,a point in the center,The tall girl is standing in the middle of the group.
388,pair,n.,two things that match,I was wearing my new pair of shoes at school.
389,pick,v.,to choose,Annie was picking fresh flowers for her mom.
390,store,n.,a shop,Liz spent a lot of money at the store.
391,bag,n.,something that people can put things in,They filled the bag with a lot of good food.
392,dear,adj.,a word used to begin a letter or diary,"“Dear Diary, I like the new pair of pants I got.”"
393,live,v.,to have a home in a certain place; to be alive,The family lives in a nice house by the sea.
394,low,adj.,near to the ground,He is sitting in front of the low bookshelf.
395,month,n.,one of the twelve periods of time in a year,We are going on a vacation to the beach this month.
396,name,n.,the word(s) by which a person or thing is known,Our dog’s name is Willard.
397,phone,n.,something used to talk to people who are far away,She remembered to call her mom on the phone.
398,rice,n.,a type of small white or brown grain,"I can smell the fresh, cooked rice from the other room."
399,rich,adj.,having a lot of money,The rich man took a plane to New York.
400,size,n.,how big or small a person or thing is,The man sells hats in many different sizes.
,,,,
401,birth,n.,the moment a baby is born,He was holding his baby after its birth.
402,clothes,n.,things people wear,She is picking clothes for her trip to the beach.
403,cost,v.,to have an amount of money as a price,The new car costs a lot of money.
404,hide,v.,to put something in a place where others cannot see it,Mark was hiding under the bed with his mom’s computer.
405,pet,n.,an animal cared for by a person,She thinks Rover is the best pet in the world.
406,puppy,n.,a very young dog,Sleep is important for the health of a puppy.
407,soft,adj.,smooth and nice to touch,She was resting on a soft pillow.
408,touch,v.,to feel by putting fingers on something,Touch the phone to make a call.
409,weigh,v.,to find out how heavy a person or thing is,She always weighs herself in the morning.
410,wish,n.,a hope for something,He remembered to make a wish for his birthday.
411,age,n.,the amount of time being alive,They do a lot of activities for people of their age.
412,bath,n.,the act of cleaning the body,The dirty dog does not want to take a bath.
413,bright,adj.,clever or smart,Everyone agrees that Mike is a bright person.
414,brush,v.,to clean or make smooth with a brush,The girl was brushing her hair before going to bed.
415,lose,v.,not to be able to find something; not to be the best in a game,"Min lost her ring yesterday, but she found it today."
416,second,n.,a very short period of time; 1/60 of a minute,You only have a few seconds to finish.
417,tell,v.,to say or write something to someone,The doctor was telling the man about his heart.
418,test,n.,an exam,Write your name at the top of your test paper.
419,thank,v.,to tell someone you are grateful for something,Nina thanked her brother for the gift.
420,ugly,adj.,not pretty,We saw some ugly birds at the zoo.
,,,,
421,calendar,n.,"a table that shows the days, weeks, and months of a year",I marked the day of the test on the calendar.
422,dance,v.,to move the body along with music,They were wearing nice clothes and dancing.
423,date,n.,a specific day of the month or year,The date of the trip is the 28th.
424,idea,n.,a thought or plan,Taking notes was the best idea Molly had.
425,luck,n.,good fortune,Winning a free pair of shoes was good luck.
426,paper,n.,something flat used to write on,Ava was writing her answers on the paper.
427,post,v.,to put up a sign or other writing,"Last month, Margo posted a sign asking for help."
428,receive,v.,to get,The girl was receiving a shot from the doctor.
429,toy,n.,something a child plays with,Ray was playing with his toy two hours ago.
430,week,n.,a period of time lasting seven days,My summer vacation begins next week.
431,clear,v.,to make clean by removing items,She clears the table after lunch.
432,continue,v.,to keep doing something,My aunt continues to work on weekends.
433,fan,n.,someone interested in a famous thing or person,They are all fans of the best team in the game.
434,favorite,adj.,most liked,She was wearing her favorite clothes at the party.
435,floor,n.,the part of the room people walk on,The puppy was resting on the floor.
436,polite,adj.,nice to other people,The polite girl thanked her mother for the food.
437,practice,v.,to repeat something in order to become better,Hector joined one of the best soccer teams. They practice often.
438,present,v.,to give something to a person in a formal way,Ian presented the keys to the car’s new owner.
439,train,v.,to exercise in order to become better,Mario was training hard for the Olympics.
440,turn,n.,the chance for someone to do something,The boys each take a turn during their game.
,,,,
441,balloon,n.,a thin rubber bag that becomes larger when filled with air,There were many balloons at Ray’s party last week.
442,bridge,n.,something built for crossing over water or land,This bridge is free for everyone to cross.
443,busy,adj.,having no free time,He told his boss that he was busy on that date.
444,company,n.,guests,They should be polite when their parents have company.
445,congratulate,v.,to tell someone that you are happy for their good luck,The woman congratulated the girl.
446,delicious,adj.,very good to eat,She presented some delicious cakes to the teacher.
447,fight,v.,to battle or hurt with force,The kids were fighting over a toy last night.
448,old,adj.,having lived or been used for a long time,I put my favorite food in this old basket.
449,restaurant,n.,a place where you can buy and eat food,The beef and chicken at this restaurant are delicious.
450,surprise,n.,something that you do not know about before it happens,The party was a surprise. She had no idea about it.
451,gentleman,n.,a man who is polite,The gentleman opened the door for me.
452,handsome,adj.,"good-looking, usually for men",The handsome man was working on his computer.
453,husband,n.,a man someone is married to,Her husband was very happy.
454,interested,adj.,wanting to look at something closely,The boy was interested in the toys.
455,king,n.,a man who rules a country,The king’s favorite color is red.
456,queen,n.,a woman who rules a country or who is a king’s wife,The queen wears beautiful clothes every day.
457,skirt,n.,a piece of women’s clothing which hangs from the waist,Katy wanted to buy another pink skirt from the store.
458,wake,v.,to stop sleeping,Stacy needed to wake up early this morning.
459,wife,n.,a woman someone is married to,Greg loves his wife’s cooking.
460,woman,n.,a girl when she grows up,The woman has an important job.
,,,,
461,arrive,v.,to get to a place,The woman and her husband arrived at the airport.
462,car,n.,something that people can drive or ride in,Thank you for buying me this car.
463,forget,v.,not to remember something,Chris forgot that he had company for dinner.
464,gate,n.,a door in a wall or fence,The gate to the garden is beautiful.
465,grand,adj.,large and impressive,The king and queen stayed in a grand hotel.
466,line,n.,a long row of things or people,The people in the line have to wait their turn.
467,subway,n.,a system of trains that go under a city,The subway was not very busy yesterday.
468,theater,n.,a place to watch movies or plays,They were watching a movie in a theater.
469,thousand,n.,"the number 1,000",The bridge is one thousand years old.
